"NUMBER","FWI","ISI","number_of_fire","Period","IA_Size","BH_Size","Status","Gap_BHIA","Fuel_type","Detection","Response_time","Month","Method","Gap_UCIA","Ex_Size","Gap","Growth","logIA_Size","logResp_time","sqlogIA_Size","sqlogResp_time","sqFWI","sqISI","logNumber_of_fire"
"E04064-1999",15,6,18,"PM",3,3,1,35.75,"C2","LKT",0.783333333333333,"6","Other ground",35.75,3,0,1,1.10027756798717,-0.237834266724213,1.21061072661576,0.0565651384282443,225,36,2.89037175789616
"E04067-1999",8,2,1,"PM",0.2,0.5,1,1.73333333333333,"C2","UNP",1.61666666666667,"6","Air",16.6,0.5,0.3,0,-1.58474529984373,0.483454426969859,2.51141766537679,0.233728182956754,64,4,0
"E04068-2000",6,3,6,"AM",0.2,0.2,1,1.41666666669978,"C2","AIR",0.149999999966886,"7","Other ground",2.66666666666667,0.2,0,1,-1.58474529984373,-1.86433016227653,2.51141766537679,3.47572695397402,36,9,1.79175946922805
"E04069-2000",7,3,6,"PM",0.1,0.1,1,0.0333333333333333,"C2","AIR",0.3,"7","Air",0.116666666666667,0.1,0,1,-2.25379492882461,-1.18744350237473,5.07959158119555,1.41002207133195,49,9,1.79175946922805
"E04070-1999",11,3,14,"AM",0.01,0.01,1,0.299999999966886,"C2","LKT",0.35,"7","Air",0.633333333366447,0.01,0,1,-4.19970507787993,-1.03563748950672,17.6375227411704,1.07254500967178,121,9,2.63905732961526
"E04070-2000",8,4,6,"PM",0.5,1.5,1,2.98333333333333,"C2","UNP",0.316666666666667,"7","Other ground",4.11666666666667,1.5,1,0,-0.683196849706777,-1.13423946631126,0.466757935449265,1.28649916693805,64,16,1.79175946922805
"E04071-1999",6,2,14,"AM",0.01,0.1,1,0.699999999966886,"C2","AIR",0.216666666666667,"7","Air",0.699999999966886,0.01,0.09,0,-4.19970507787993,-1.50658052699439,17.6375227411704,2.2697848843187,36,4,2.63905732961526
"E04071-2000",6,3,6,"PM",0.2,0.2,1,0.0833333333002196,"C2","AIR",0.683333333333333,"7","Air",1.5,0.2,0,1,-1.58474529984373,-0.373482062255114,2.51141766537679,0.139488850826333,36,9,1.79175946922805
"E04072-1999",6,2,14,"AM",0.01,0.01,1,-0.699999999966886,"C2","UNP",1.53333333330022,"7","Air",-0.63333333330022,0.01,0,1,-4.19970507787993,0.43069957926518,17.6375227411704,0.185502127579203,36,4,2.63905732961526
"E04073-1999",5,1,14,"AM",0.2,0.2,1,0.1,"C2","LKT",0.199999999966886,"7","Air",0.116666666666667,0.2,0,1,-1.58474529984373,-1.58474530000526,2.51141766537679,2.51141766588876,25,1,2.63905732961526
"E04073-2000",6,3,3,"PM",0.25,0.3,1,0.616666666666667,"C2","LKT",0.350000000033114,"7","Other ground",1.36666666666667,0.3,0.05,0,-1.36649173382371,-1.03563748941344,1.86729965860853,1.07254500947858,36,9,1.09861228866811
"E04074-1999",6,1,14,"AM",0.2,0.3,1,0.433333333333333,"C2","AIR",0.133333333333333,"7","Air",0.533333333333333,0.2,0.1,0,-1.58474529984373,-1.97808904741955,2.51141766537679,3.91283627952118,36,1,2.63905732961526
"E04075-1999",6,2,14,"AM",0.01,0.01,1,-0.0833333333333333,"C2","LKT",2.33333333333333,"7","Air",0.433333333333333,0.01,0,1,-4.19970507787993,0.849438424886315,17.6375227411704,0.721545637673343,36,4,2.63905732961526
"E04076-2000",4,2,3,"PM",0.01,0.01,1,0.0333333333333333,"C2","AIR",0.0666666666666667,"7","Air",0.0666666666666667,0.01,0,1,-4.19970507787993,-2.63572953952258,17.6375227411704,6.94707020551193,16,4,1.09861228866811
"E04077-1999",11,4,14,"PM",0.2,0.4,1,1.75000000003311,"C2","AIR",0.266666666666667,"7","Air",3.41666666666667,0.4,0.2,0,-1.58474529984373,-1.30317945440938,2.51141766537679,1.69827669039474,121,16,2.63905732961526
"E04078-1999",7,2,14,"PM",3.5,41.5,1,25.7,"C2","LKT",0.5,"7","Air",49.3666666666667,45.3,38,0,1.25419052048655,-0.683196849706777,1.57299386167833,0.466757935449265,49,4,2.63905732961526
"E04080-2000",2,1,3,"PM",0.2,0.2,1,0.75,"C2","LKT",1.01666666666667,"7","Air",1.58333333333333,0.2,0,1,-1.58474529984373,0.0214352807200649,2.51141766537679,0.000459471259547985,4,1,1.09861228866811
"E04081-1999",13,4,2,"AM",0.1,0.1,1,1.56666666666667,"C2","AIR",0.53333333330022,"7","Air",2.86666666666667,2640,0,1,-2.25379492882461,-0.619277332055001,5.07959158119555,0.383504413997161,169,16,0.693147180559945
"E04083-1999",23,9,14,"PM",50,4027,1,218.833333333333,"C2","LKT",0.466666666666667,"7","Air",266.833333333333,7061,3977,0,3.91212300042848,-0.751482757572909,15.3047063704815,0.564726334929383,529,81,2.63905732961526
"E04086-1999",24,10,4,"PM",100,100,1,46.6166666666667,"C2","UNP",0.15,"7","Air",63.1166666666667,100,0,1,4.60522018473813,-1.86433016206289,21.2080529499195,3.47572695317744,576,100,1.38629436111989
"E04088-1999",31,11,4,"PM",0.01,0.01,1,0.0833333333333333,"C2","UNP",0.283333333333333,"7","Air",0.15,0.01,0,1,-4.19970507787993,-1.24363806071837,17.6375227411704,1.54663562606734,961,121,1.38629436111989
"E04088-2000",3,2,2,"AM",0.4,0.5,1,2.81666666666667,"C2","LKT",0.333333333333333,"7","Other ground",3.98333333333333,0.5,0.1,0,-0.903868211875598,-1.08372367617436,0.816977744439191,1.17445700630087,9,4,0.693147180559945
"E04089-1999",18,6,18,"AM",0.2,0.2,1,4.89999999996689,"C2","UNP",0.21666666669978,"7","Air",4.89999999996689,0.2,0,1,-1.58474529984373,-1.50658052684501,2.51141766537679,2.26978488386858,324,36,2.89037175789616
"E04090-1999",24,7,18,"PM",3,20,1,22.1,"C2","LKT",1.63333333333333,"7","Air Tanker",45.6,22,17,0,1.10027756798717,0.49367946493102,1.21061072661576,0.243719414094578,576,49,2.89037175789616
"E04090-2000",10,4,2,"AM",0.3,0.3,1,0.316666666666667,"C2","AIR",0.0833333333333333,"8","Other ground",0.76666666669978,0.3,0,1,-1.18744350237473,-2.42663774166402,1.41002207133195,5.88857072926828,100,16,0.693147180559945
"E04091-1999",21,7,18,"AM",0.01,0.1,1,0.75,"C2","AIR",0.25,"7","Air",0.75,0.1,0.09,0,-4.19970507787993,-1.36649173382371,17.6375227411704,1.86729965860853,441,49,2.89037175789616
"E04092-1999",23,9,18,"AM",0.01,0.01,1,2.83333333333333,"Other","LKT",0.166666666666667,"7","Other ground",2.83333333333333,0.01,0,1,-4.19970507787993,-1.76220066698651,17.6375227411704,3.1053511907277,529,81,2.89037175789616
"E04093-1999",24,7,18,"PM",0.1,0.1,1,0.83333333330022,"C2","UNP",0.133333333333333,"7","Air",0.83333333330022,0.1,0,1,-2.25379492882461,-1.97808904741955,5.07959158119555,3.91283627952118,576,49,2.89037175789616
"E04094-1999",19,6,18,"PM",0.01,0.01,1,1.86666666666667,"C2","LKT",0.816666666666667,"7","Air",1.86666666666667,0.01,0,1,-4.19970507787993,-0.196420481173456,17.6375227411704,0.0385810054244121,361,36,2.89037175789616
"E04095-1999",19,6,18,"PM",0.1,0.1,1,6.16666666663355,"C2","LKT",0.75,"7","Air",6.16666666663355,0.1,0,1,-2.25379492882461,-0.281037529733112,5.07959158119555,0.07898209311849,361,36,2.89037175789616
"E04096-1999",19,6,18,"PM",0.02,0.1,1,3.83333333333333,"C2","LKT",3.25,"7","Air",3.83333333333333,0.02,0.08,0,-3.68887945411394,1.18019227566053,13.6078316269839,1.39285380752879,361,36,2.89037175789616
"E04097-1999",26,6,18,"AM",0.1,0.1,1,15.9666666666667,"C2","UNP",0.3,"7","Other ground",15.9666666666667,0.1,0,1,-2.25379492882461,-1.18744350237473,5.07959158119555,1.41002207133195,676,36,2.89037175789616
"E04098-1999",12,4,18,"PM",0.3,0.3,1,1.2,"C2","LKT",1.15,"7","Other ground",19.4166666666667,0.3,0,1,-1.18744350237473,0.144100343973757,1.41002207133195,0.020764909133355,144,16,2.89037175789616
"E04110-1999",21,10,38,"AM",0.05,0.05,1,1.25,"C2","LKT",0.366666666666667,"7","Air",2.7,0.05,0,1,-2.90042209374967,-0.989757883756028,8.4124483219112,0.97962066845721,441,100,3.63758615972639
"E04111-1999",21,10,38,"AM",0.1,0.1,1,0.15,"M2","LKT",0.533333333333333,"7","Air",1,0.1,0,1,-2.25379492882461,-0.61927733199349,5.07959158119555,0.383504413920975,441,100,3.63758615972639
"E04112-1999",21,8,9,"AM",0.01,0.01,1,1.1,"C2","UNP",12.9166666666667,"7","Air",1.1,0.01,0,1,-4.19970507787993,2.55890548900281,17.6375227411704,6.54799730164872,441,64,2.19722457733622
"E04113-1999",20,8,38,"AM",2.5,25,1,64.45,"C2","LKT",0.65,"7","Air",124.6,25,22.5,0,0.918288734536828,-0.423120043346885,0.843254199977249,0.17903057108187,400,64,3.63758615972639
"E04114-1999",19,8,38,"AM",1,2,1,6.73333333333333,"C2","LKT",1.03333333333333,"7","Air",6.73333333333333,2,1,0,0.00498754151103897,0.0376168635713068,2.48755703243369e-05,0.00141502842494231,361,64,3.63758615972639
"E04115-1999",19,8,38,"AM",1.5,2,1,44.7166666666998,"M2","LKT",1.03333333330022,"7","Air",47.0166666666998,2,0.5,0,0.408792898200839,0.0376168635394155,0.167111633619442,0.00141502842254301,361,64,3.63758615972639
"E04118-1999",19,8,38,"PM",2,2,1,2.38333333333333,"C2","UNP",0.183333333333333,"7","Air",46.05,2,0,1,0.695644060758532,-1.66954183650381,0.483920659268621,2.7873699438365,361,64,3.63758615972639
"E04125-1999",24,10,38,"PM",0.4,0.4,1,1.2,"C2","LKT",1.51666666663355,"7","Air",1.68333333333333,0.4,0,1,-0.903868211875598,0.419806225357061,0.816977744439191,0.176237266848543,576,100,3.63758615972639
"E04126-1999",26,10,38,"PM",0.1,0.1,1,0.166666666666667,"C2","UNP",0.416666666666667,"7","Other ground",12.5,0.1,0,1,-2.25379492882461,-0.863540166488626,5.07959158119555,0.745701619139204,676,100,3.63758615972639
"E04128-1999",25,10,38,"PM",0.5,1,1,13,"M2","LKT",2.5,"7","Other ground",15.5,1,0.5,0,-0.683196849706777,0.918288734536828,0.466757935449265,0.843254199977249,625,100,3.63758615972639
"E04129-1999",21,8,9,"AM",0.01,0.01,1,1.78333333326711,"C2","LKT",12.8666666666998,"7","Air",1.78333333326711,0.01,0,1,-4.19970507787993,2.55502851335569,17.6375227411704,6.52817070406059,441,64,2.19722457733622
"E04139-1999",4,0,3,"AM",0.03,0.03,1,0.216666666666667,"C2","UNP",5.88333333333333,"7","Other ground",0.216666666666667,0.03,0,1,-3.35240721749272,1.772972992143,11.2386341518973,3.1434332308685,16,0,1.09861228866811
"E04148-1999",12,6,31,"PM",0.5,0.5,1,1.6,"C2","UNP",0.45,"8","Air",2.26666666663355,0.5,0,1,-0.683196849706777,-0.787457860031187,0.466757935449265,0.620089881324896,144,36,3.43398720448515
"E04149-1999",20,8,31,"PM",0.1,0.1,1,0.616666666666667,"C2","LKT",0.533333333333333,"8","Air",0.616666666666667,0.1,0,1,-2.25379492882461,-0.61927733199349,5.07959158119555,0.383504413920975,400,64,3.43398720448515
"E04150-1999",19,7,31,"PM",1,1,1,3.05,"M2","LKT",0.599999999966886,"8","Ground trained",3.05,1,0,1,0.00498754151103897,-0.502526821006029,2.48755703243369e-05,0.252533205830425,361,49,3.43398720448515
"E04151-1999",13,6,31,"PM",0.01,0.01,1,1.16666666666667,"C2","UNP",0.75,"8","Air",3.25,0.01,0,1,-4.19970507787993,-0.281037529733112,17.6375227411704,0.07898209311849,169,36,3.43398720448515
